a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
27	37	714708	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.493286	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	38	678110	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.468026	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	39	701142	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.483923	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	40	694478	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.479324	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	41	645036	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.445199	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	42	693984	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.478983	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	43	705448	0.773032	0.000018	0.000000	0.083603	0.000000	0.067791	0.000000	0.075556	0.000000	0.000009	0.143347	0.159159	0.000004	0.000000	0.000000	0.075556	0.000000	0.075556	0.151262	-0.007906	-1631518.956874	74	-1	0.486895	5.050082e-01,1.319984e-01,3.968244e-02,1.352038e-01,7.115069e-02,2.626015e-02,3.973678e-02,2.433183e-02,2.662766e-02	1.116211	0.179125	-0.190586	-1783852.480418	10
27	44	694798	0.808580	0.000051	0.000000	0.047735	0.000000	0.056318	0.000000	0.087316	0.000000	0.000026	0.143633	0.135051	0.000013	0.000000	0.000000	0.087316	0.000000	0.087316	0.139368	0.004291	-1635384.376370	86	-1	0.479544	5.020067e-01,1.352046e-01,3.845277e-02,1.341774e-01,7.474774e-02,2.423795e-02,3.941857e-02,2.468580e-02,2.706841e-02	1.041789	0.188673	-0.173140	-1785121.655212	10
27	45	671166	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.463234	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	46	672501	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.464155	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	47	671425	0.798602	0.000012	0.000000	0.060074	0.000000	0.058709	0.000000	0.082602	0.000000	0.000006	0.141312	0.142676	0.000003	0.000000	0.000000	0.082602	0.000000	0.082602	0.142000	-0.000682	-1592086.919615	102	-1	0.463413	5.032023e-01,1.340713e-01,3.817138e-02,1.353156e-01,7.293849e-02,2.503371e-02,3.939880e-02,2.455443e-02,2.731399e-02	1.063501	0.183935	-0.176834	-1737379.595247	10
